Incident Number,Exposure Number,ID,Address,Incident Date,Call Number,Alarm DtTm,Arrival DtTm,Close DtTm,City,zipcode,Battalion,Station Area,Box,Suppression Units,Suppression Personnel,Fire Fatalities,Fire Injuries,Civilian Fatalities,Civilian Injuries,Number of Alarms,Primary Situation,Mutual Aid,Action Taken Primary,Action Taken Secondary,Action Taken Other,Supervisor District,neighborhood_district,data_as_of,data_loaded_at
22077576,0,220775760,GEARY STREET,2022/06/17,221682842,2022/06/17 08:36:15 PM,2022/06/17 08:41:58 PM,2022/06/17 08:45:37 PM,San Francisco,94102,B01,03,1411,2,9,0,0,0,0,1,911 Citizen complaint,N None,86 Investigate,,,3,Tenderloin,2022/06/17 08:45:37 PM,2024/11/17 02:16:16 AM
22077580,0,220775800,STEINER STREET,2022/06/17,221682854,2022/06/17 08:43:07 PM,2022/06/17 08:47:04 PM,2022/06/17 11:33:38 PM,San Francisco,94123,B04,16,3566,1,4,0,0,0,0,1,322 Motor vehicle accident with injuries,N None,33 Provide advanced life support (ALS),,,2,Marina,2022/06/17 11:33:38 PM,2024/11/17 02:16:16 AM
22077584,0,220775840,POST STREET,2022/06/17,221682901,2022/06/17 09:05:15 PM,2022/06/17 09:07:28 PM,2022/06/17 10:35:43 PM,San Francisco,94109,B04,03,3161,2,9,0,0,0,0,1,322 Motor vehicle accident with injuries,N None,32 Provide basic life support (BLS),,,2,Western Addition,2022/06/17 10:35:43 PM,2024/11/17 02:16:16 AM
22077586,0,220775860,30TH AVENUE,2022/06/17,221682907,2022/06/17 09:07:04 PM,2022/06/17 09:13:40 PM,2022/06/17 09:35:11 PM,San Francisco,94122,B08,22,7512,1,5,0,0,0,0,1,"500 Service Call, other",N None,73 Provide manpower,,,4,Sunset/Parkside,2022/06/17 09:35:11 PM,2024/11/17 02:16:16 AM
22077592,0,220775920,433 KEARNY STREET,2022/06/17,221682954,2022/06/17 09:30:55 PM,2022/06/17 09:33:43 PM,2022/06/17 09:48:21 PM,San Francisco,94108,B01,13,1240,3,11,0,0,0,0,1,"700 False alarm or false call, other",N None,86 Investigate,,,3,Financial District/South Beach,2022/06/17 09:48:21 PM,2024/11/17 02:16:16 AM
22077594,0,220775940,2600 ARELIOUS WALKER DRIVE,2022/06/17,221682974,2022/06/17 09:37:17 PM,2022/06/17 09:43:38 PM,2022/06/17 09:48:37 PM,San Francisco,94124,B10,17,6615,3,10,0,0,0,0,1,"745 Alarm system activation, no fire - unintentional",N None,63 Restore fire alarm system,,,10,Bayview Hunters Point,2022/06/17 09:48:37 PM,2024/11/17 02:16:16 AM
22077596,0,220775960,350 101 SB Z 10TH Z SVN,2022/06/17,221682992,2022/06/17 09:44:34 PM,2022/06/17 09:53:20 PM,2022/06/17 10:03:04 PM,San Francisco,94103,B02,36,5116,1,4,0,0,0,0,1,322 Motor vehicle accident with injuries,N None,31 Provide first aid & check for injuries,,,10,Potrero Hill,2022/06/17 10:03:04 PM,2024/11/17 02:16:16 AM
22077604,0,220776040,CESAR CHAVEZ STREET,2022/06/17,221683039,2022/06/17 10:02:35 PM,2022/06/17 10:08:50 PM,2022/06/17 10:20:14 PM,San Francisco,94124,B10,25,2635,1,4,0,0,0,0,1,"151 Outside rubbish, trash or waste fire",N None,"10 Fire control or extinguishment, other",,,10,Bayview Hunters Point,2022/06/17 10:20:14 PM,2024/11/17 02:16:16 AM
22077607,0,220776070,17TH STREET,2022/06/17,221683059,2022/06/17 10:10:36 PM,2022/06/17 10:12:49 PM,2022/06/17 10:13:48 PM,San Francisco,94110,B02,29,5242,1,4,0,0,0,0,1,4000 Tent/Encampment hazardous condition,N None,86 Investigate,,,9,Mission,2022/06/17 10:13:48 PM,2024/11/17 02:16:16 AM
15030526,0,150305260,6TH ST/BRYANT STREET,2015/03/21,150800430,2015/03/21 03:19:58 AM,2015/03/21 03:23:50 AM,2015/03/21 03:24:56 AM,San Francisco,94103,B03,08,2255,2,9,0,0,0,0,1,"711 Municipal alarm system, malicious false alarm",N None,86 Investigate,,,6,South of Market,2015/03/21 03:24:56 AM,2024/11/17 02:16:16 AM
22077610,0,220776100,1995 OAK STREET,2022/06/17,221683075,2022/06/17 10:16:34 PM,2022/06/17 10:20:33 PM,2022/06/17 10:35:36 PM,San Francisco,94117,B05,12,4544,3,10,0,0,0,0,1,735 Alarm system sounded due to malfunction,N None,86 Investigate,,,5,Haight Ashbury,2022/06/17 10:35:36 PM,2024/11/17 02:16:16 AM
22077611,0,220776110,149 NEW MONTGOMERY STREET,2022/06/17,221683080,2022/06/17 10:17:14 PM,2022/06/17 10:23:16 PM,2022/06/17 10:36:44 PM,San Francisco,94105,B03,01,2157,3,10,0,0,0,0,1,"730 System malfunction, other",N None,63 Restore fire alarm system,,,6,Financial District/South Beach,2022/06/17 10:36:44 PM,2024/11/17 02:16:16 AM
22077615,0,220776150,50 8TH STREET,2022/06/17,221683127,2022/06/17 10:36:14 PM,2022/06/17 10:39:45 PM,2022/06/17 10:44:57 PM,San Francisco,94103,B02,01,2318,4,16,0,0,0,0,1,"113 Cooking fire, confined to container",N None,86 Investigate,,,6,South of Market,2022/06/17 10:44:57 PM,2024/11/17 02:16:16 AM
22077618,0,220776180,821 LEAVENWORTH STREET,2022/06/17,221683144,2022/06/17 10:41:12 PM,2022/06/17 10:45:46 PM,2022/06/17 10:49:01 PM,San Francisco,94109,B01,41,1542,1,4,0,0,0,0,1,622 No incident found on arrival at dispatch address,N None,86 Investigate,,,3,Nob Hill,2022/06/17 10:49:01 PM,2024/11/17 02:16:16 AM
22077626,0,220776260,440 GEARY STREET,2022/06/17,221683245,2022/06/17 11:27:03 PM,2022/06/17 11:30:28 PM,2022/06/17 11:48:53 PM,San Francisco,94102,B01,03,1411,3,11,0,0,0,0,1,"700 False alarm or false call, other",N None,86 Investigate,,,3,Tenderloin,2022/06/17 11:48:53 PM,2024/11/17 02:16:16 AM
22077632,0,220776320,3052 16TH STREET,2022/06/17,221683287,2022/06/17 11:53:06 PM,2022/06/17 11:57:58 PM,2022/06/17 11:59:04 PM,San Francisco,94103,B02,07,5236,1,4,0,0,0,0,1,"700 False alarm or false call, other",N None,"00 Action taken, other",,,9,Mission,2022/06/17 11:59:04 PM,2024/11/17 02:16:16 AM
22077634,0,220776340,223 SUTTER STREET,2022/06/17,221683295,2022/06/17 11:58:01 PM,2022/06/18 12:03:08 AM,2022/06/18 12:14:57 AM,San Francisco,94108,B01,13,1242,1,4,0,0,0,0,1,"600 Good intent call, other",N None,86 Investigate,,,3,Financial District/South Beach,2022/06/18 12:14:57 AM,2024/11/17 02:16:16 AM
22077636,0,220776360,1 LILAC STREET,2022/06/18,221690012,2022/06/18 12:10:40 AM,2022/06/18 12:13:57 AM,2022/06/18 01:11:28 AM,San Francisco,94110,B06,11,5525,8,28,0,0,0,0,1,"151 Outside rubbish, trash or waste fire",N None,11 Extinguishment by fire service personnel,86 Investigate,,9,Mission,2022/06/18 09:45:20 AM,2024/11/17 02:16:16 AM
22077638,0,220776380,1 101NB C CHAVEZ ON,2022/06/18,221690029,2022/06/18 12:19:05 AM,2022/06/18 12:26:06 AM,2022/06/18 12:29:00 AM,San Francisco,94124,B10,09,6375,1,4,0,0,0,0,1,622 No incident found on arrival at dispatch address,N None,86 Investigate,,,10,Potrero Hill,2022/06/18 12:29:00 AM,2024/11/17 02:16:16 AM
15030535,0,150305350,VALENCIA ST/CLINTON PARK STREET,2015/03/21,150800480,2015/03/21 03:54:31 AM,2015/03/21 04:05:37 AM,2015/03/21 05:31:01 AM,San Francisco,94103,B02,36,5126,1,5,0,0,0,0,1,551 Assist police or other governmental agency,N None,75 Provide equipment,,,9,Mission,2015/03/21 05:31:01 AM,2024/11/17 02:16:16 AM
22077639,0,220776390,355 BUENA VISTA AVENUE EAST,2022/06/18,221690035,2022/06/18 12:22:05 AM,2022/06/18 12:28:16 AM,2022/06/18 12:52:23 AM,San Francisco,94117,B05,21,5136,3,10,0,0,0,0,1,735 Alarm system sounded due to malfunction,N None,86 Investigate,,,8,Castro/Upper Market,2022/06/18 12:52:23 AM,2024/11/17 02:16:16 AM
22077645,0,220776450,333 POST STREET,2022/06/18,221690076,2022/06/18 12:43:06 AM,2022/06/18 12:45:13 AM,2022/06/18 12:55:06 AM,San Francisco,94102,B01,02,1362,3,11,0,0,0,0,1,"700 False alarm or false call, other",N None,86 Investigate,,,3,Financial District/South Beach,2022/06/18 12:55:06 AM,2024/11/17 02:16:16 AM
22077649,0,220776490,385 EDDY STREET,2022/06/18,221690124,2022/06/18 01:11:48 AM,2022/06/18 01:15:40 AM,2022/06/18 01:22:41 AM,San Francisco,94109,B02,03,1545,3,11,0,0,0,0,1,"113 Cooking fire, confined to container",N None,86 Investigate,,,5,Tenderloin,2022/06/18 01:22:41 AM,2024/11/17 02:16:16 AM
22077655,0,220776550,2072 GREAT HY,2022/06/18,221690160,2022/06/18 01:35:03 AM,2022/06/18 01:42:54 AM,2022/06/18 01:45:21 AM,San Francisco,94116,B08,23,7726,1,4,0,0,0,0,1,"4450 Arcing, shorted electrical PG&E equipment",N None,86 Investigate,,,4,Sunset/Parkside,2022/06/18 01:45:21 AM,2024/11/17 02:16:16 AM
22077660,0,220776600,PALM AVENUE,2022/06/18,221690192,2022/06/18 01:56:25 AM,2022/06/18 02:01:21 AM,2022/06/18 03:25:20 AM,San Francisco,94118,B07,10,4446,1,4,0,0,0,0,1,322 Motor vehicle accident with injuries,N None,33 Provide advanced life support (ALS),,,2,Presidio Heights,2022/06/18 03:25:20 AM,2024/11/17 02:16:16 AM
22077661,0,220776610,FILLMORE STREET,2022/06/18,221690197,2022/06/18 01:58:52 AM,2022/06/18 02:01:50 AM,2022/06/18 03:30:49 AM,San Francisco,94123,B04,16,3553,1,4,0,0,0,0,1,323 Motor vehicle/pedestrian accident (MV Ped),N None,33 Provide advanced life support (ALS),,,2,Marina,2022/06/18 03:30:49 AM,2024/11/17 02:16:16 AM
